"Label","Description","Modality","Measurement","Atlas","rsf.pipeline"
"X",NA,NA,NA,"ANTs",NA
"filename",NA,NA,NA,"ANTs",NA
"dimensionality",NA,NA,NA,"ANTs",NA
"noise",NA,NA,NA,"ANTs",NA
"snr",NA,NA,NA,"ANTs",NA
"cnr",NA,NA,NA,"ANTs",NA
"psnr",NA,NA,NA,"ANTs",NA
"ssim",NA,NA,NA,"ANTs",NA
"mi",NA,NA,NA,"ANTs",NA
"reflection_err",NA,NA,NA,"ANTs",NA
"EVR",NA,NA,NA,"ANTs",NA
"msk_vol",NA,NA,"geometry.volume","ANTs",NA
"spc0",NA,NA,NA,"ANTs",NA
"spc1",NA,NA,NA,"ANTs",NA
"spc2",NA,NA,NA,"ANTs",NA
"org0",NA,NA,NA,"ANTs",NA
"org1",NA,NA,NA,"ANTs",NA
"org2",NA,NA,NA,"ANTs",NA
"dimx",NA,NA,NA,"ANTs",NA
"dimy",NA,NA,NA,"ANTs",NA
"dimz",NA,NA,NA,"ANTs",NA
"dimt",NA,NA,NA,"ANTs",NA
"slice",NA,NA,NA,"ANTs",NA
"modality",NA,NA,NA,"ANTs",NA
"mriseries",NA,NA,NA,"ANTs",NA
"mrimfg",NA,NA,NA,"ANTs",NA
"mrimodel",NA,NA,NA,"ANTs",NA
"mriMagneticFieldStrength",NA,NA,NA,"ANTs",NA
"mriSAR",NA,NA,NA,"ANTs",NA
"mriPixelBandwidth","Unknown Core: mripixelbandwidth","Unknown","Unknown","ANTs",NA
"mriPixelBandwidthPE","Unknown Core: mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"dti_bvalueMax","Unknown Core: bvaluemax","DTI","Unknown","ANTs",NA
"dti_bvecnorm","Unknown Core: bvecnorm","DTI","Unknown","ANTs",NA
"ol_loop",NA,NA,NA,"ANTs",NA
"ol_lof",NA,NA,NA,"ANTs",NA
"ol_lof_decision",NA,NA,NA,"ANTs",NA
"dti_failed","Unknown Core: failed","DTI","Unknown","ANTs",NA
"rsf_failed","Unknown Core: failed","rs-fMRI","Unknown","ANTs",NA
"subjectID",NA,NA,NA,"ANTs",NA
"date",NA,NA,NA,"ANTs",NA
"subjectIDdate",NA,NA,NA,"ANTs",NA
"imageID",NA,NA,NA,"ANTs",NA
"negol",NA,NA,NA,"ANTs",NA
"repeat.",NA,NA,NA,"ANTs",NA
"flairfn",NA,"Flair",NA,"ANTs",NA
"T2Flair_dimensionality","Unknown Core: dimensionality","Flair","Unknown","ANTs",NA
"T2Flair_noise","Unknown Core: noise","Flair","Unknown","ANTs",NA
"T2Flair_snr","Global","Flair","Signal to Noise Ratio","ANTs",NA
"T2Flair_cnr","Global","Flair","Contrast to Noise Ratio","ANTs",NA
"T2Flair_psnr","Global","Flair","Peak Signal to Noise Ratio","ANTs",NA
"T2Flair_ssim","Global","Flair","Structural Similarity Index","ANTs",NA
"T2Flair_mi","Global","Flair","Mutual Information","ANTs",NA
"T2Flair_reflection_err","Unknown Core: reflection err","Flair","Unknown","ANTs",NA
"T2Flair_EVR","Global","Flair","Explained Variance Ratio","ANTs",NA
"T2Flair_msk_vol","Unknown Core: msk","Flair","geometry.volume","ANTs",NA
"T2Flair_spc0","Unknown Core: spc0","Flair","Unknown","ANTs",NA
"T2Flair_spc1","Unknown Core: spc1","Flair","Unknown","ANTs",NA
"T2Flair_spc2","Unknown Core: spc2","Flair","Unknown","ANTs",NA
"T2Flair_org0","Unknown Core: org0","Flair","Unknown","ANTs",NA
"T2Flair_org1","Unknown Core: org1","Flair","Unknown","ANTs",NA
"T2Flair_org2","Unknown Core: org2","Flair","Unknown","ANTs",NA
"T2Flair_dimx","Unknown Core: dimx","Flair","Unknown","ANTs",NA
"T2Flair_dimy","Unknown Core: dimy","Flair","Unknown","ANTs",NA
"T2Flair_dimz","Unknown Core: dimz","Flair","Unknown","ANTs",NA
